Título;ISSN impresa;ISSN en linea;Área;Instituto
Historia regional (Villa Constitución. En línea);null;0329-8213;Ciencias sociales y humanidades;null
Huellas (Santa Rosa. En línea);0329-0573;2362-5643;Ciencias sociales y humanidades;null
Iberoamerican journal of project management (Mar del Plata);null;2346-9161;Ciencias agrarias, ingeniería y materiales;null
Imagofagia (Buenos Aires);null;1852-9550;Ciencias sociales y humanidades;null
Incipit;0326-0941;2683-9199;Ciencias sociales y humanidades;null
Información, cultura y sociedad;1514-8327;1851-1740;Ciencias sociales y humanidades;null
Insuficiencia cardíaca;1850-1044;1852-3862;Ciencias biológicas y de la salud;null
Integración y conocimiento (En línea);null;2347-0658;Ciencias sociales y humanidades;null
Interdisciplinaria;0325-8203;1668-7027;Ciencias sociales y humanidades;null
Intersecciones en antropología;1666-2105;1850-373X;Ciencias sociales y humanidades;null
Intersecciones en Comunicación (En línea);null;2250-4184;Ciencias sociales y humanidades;null
InVet;1514-6634;1668-3498;Ciencias biológicas y de la salud;null
Itinerantes (San Miguel de Tucumán. En línea);null;2525-2178;Ciencias sociales y humanidades;Universidad del Norte Santo Tomás de Aquino
Itinerarios educativos (En línea);null;2362-5554;Ciencias sociales y humanidades;Universidad Nacional del Litoral
Ixtli;null;2408-4751;Ciencias sociales y humanidades;null
Journal of Applied Economics;1514-0326;1667-6726;Ciencias sociales y humanidades;null
Journal of computer science and technology (La Plata. En línea);1666-6046;1666-6038;Ciencias exactas y naturales ;null
Kurtziana;0075-7314;1852-5962;Ciencias exactas y naturales ;null
La aljaba;0328-6169;1669-5704;Ciencias sociales y humanidades;null
La trama de la comunicación;1668-5628;2314-2634;Ciencias sociales y humanidades;null
La zaranda de ideas;1669-7456;1853-1296;Ciencias sociales y humanidades;null
Latin American applied research;0327-0793;1851-8796;Ciencias agrarias, ingeniería y materiales;null
Latin American journal of pharmacy;0326-2383;2362-3853;Ciencias exactas y naturales ;null
Latin American journal of sedimentology and basin analysis;1669-7316;1851-4979;Ciencias exactas y naturales ;null
Lavboratorio (En línea);null;1852-4435;Ciencias sociales y humanidades;Facultad de ciencias Sociales Universidad de Buenos Aires
Lilloa;0075-9481;2346-9641;Ciencias biológicas y de la salud;null
Lúdicamente (Ciudad Autónoma de Buenos Aires);null;2250-723X;Ciencias sociales y humanidades;null
Magallánica;null;2422-779X;Ciencias sociales y humanidades;null
Marine and fishery sciences (En línea);null;2683-7951;Ciencias exactas y naturales ;null
Masquedós (Tandil. En línea);null;2469-2158;Ciencias sociales y humanidades;Universidad Nacional del Centro de la Provincia de Buenos Aires
Mastozoología neotropical;0327-9383;1666-0536;Ciencias biológicas y de la salud;null
Medicina (Buenos Aires);0025-7680;1669-9106;Ciencias biológicas y de la salud;null
Memoria americana;0327-5752;1851-3751;Ciencias sociales y humanidades;null
Meteorológica;0325-187X;1850-468X;Ciencias exactas y naturales ;null
Miríada (En línea);null;2250-4621;Ciencias sociales y humanidades;Facultad de Ciencias Sociales, Universidad del Salvador
Mora (Buenos Aires);0328-8773;1853-001X;Ciencias sociales y humanidades;null
Multequina (Mendoza);0327-9375;1852-7329;Ciencias biológicas y de la salud;null
Mundo agrario;null;1515-5994;Ciencias sociales y humanidades;null
Mundo de antes;1514-982X;2362-325X;Ciencias sociales y humanidades;null
Nuevo itinerario (En línea);null;1850-3578;Ciencias sociales y humanidades;Universidad Nacional del Nordeste
Odisea (Ciudad Autónoma de Buenos Aires. 2014);null;2408-445X;Ciencias sociales y humanidades;Facultad de Ciencias Sociales, Universidad de Buenos Aires 
Olivar (La Plata);1515-1115;1852-4478;Ciencias sociales y humanidades;null
OMNIA (Salta. En línea);null;2618-4699;Ciencias sociales y humanidades;Facultad de Ciencias Jurídicas, Universidad Católica de Salta
Orbis tertius;0328-8188;1851-7811;Ciencias sociales y humanidades;null
Orientación y sociedad;1515-6877;1851-8893;Ciencias sociales y humanidades;null
Páginas (Rosario);null;1851-992X;Ciencias sociales y humanidades;null
Páginas de filosofía (En línea);0327-5108;1853-7960;Ciencias sociales y humanidades;null
Palabra clave;1666-2938;1853-9912;Ciencias sociales y humanidades;null
Pampa (Santa Fe);1669-3299;2314-0208;Ciencias sociales y humanidades;null
Papeles de trabajo (Instituto de Altos Estudios Sociales. En línea);0327-6147;1851-2577;Ciencias sociales y humanidades;null
Papeles de trabajo – Centro de Estudios Interdisciplinarios en Etnolingüística Socio-Cultural;0327-6147;1852-4508;Ciencias sociales y humanidades;null
Papers in physics;null;1852-4249;Ciencias exactas y naturales ;null
Párrafos geográficos (En línea);null;1853-9424;Ciencias sociales y humanidades;Universidad Nacional de la Patagonia San Juan Bosco
Pasado abierto;null;2451-6961;Ciencias sociales y humanidades;null
Patristica et Mediaevalia;null;2683-9636;Ciencias sociales y humanidades;Facultad de Filosofía y Letras, Universidad de Buenos Aires
Pensum (Córdoba);null;2469-0724;Ciencias sociales y humanidades;Facultad de Arquitectura, Urbanismo y Diseño Universidad Nacional de Córdoba
Perspectivas de las ciencias económicas y jurídicas;2250-4087;2545-8566;Ciencias sociales y humanidades;null
Perspectivas en psicología;1668-7175;1853-8800;Ciencias sociales y humanidades;null
Perspectivas revista de ciencias sociales;null;2525-1112;Ciencias sociales y humanidades;Facultad de Ciencia Política y Relaciones Internacionales, Universidad Nacional de Rosario
Población y sociedad;0328-3445;1852-8562;Ciencias sociales y humanidades;null
Polhis (Mar del Plata);null;1853-7723;Ciencias sociales y humanidades;null
Polifonías;2314-0488;2314-0496;Ciencias sociales y humanidades;null
Políticas de la memoria (En línea);null;2683-7234;Ciencias sociales y humanidades;Universidad Nacional de San Martín
Postdata (Buenos Aires);1515-209X;1851-9601;Ciencias sociales y humanidades;null
Prácticas de oficio;null;1851-6076;Ciencias sociales y humanidades;null
Praxis educativa (Santa Rosa);0328-9702;2313-934X;Ciencias sociales y humanidades;null
Prismas;1666-1508;1852-0499;Ciencias sociales y humanidades;null
Prohistoria (Rosario);1514-0032;1851-9504;Ciencias sociales y humanidades;null
Propuesta educativa (Buenos Aires);0327-4829;1995-7785;Ciencias sociales y humanidades;null
Prudentia iuris (En línea);null;2524-9525;Ciencias sociales y humanidades;Facultad de Derecho y Ciencias Políticas, Universidad Católica Argentina
Psicodebate (Buenos Aires);1515-2251;2451-6600;Ciencias sociales y humanidades;null
Psiencia. Revista latinoamericana de ciencia psicológica;2250-5490;2250-5504;Ciencias sociales y humanidades;null
Psocial (Ciudad Autónoma de Buenos Aires);null;2422-619X;Ciencias sociales y humanidades;Facultad de Ciencias Sociales, Universidad de Buenos Aires
Publicación electrónica de la Asociación Paleontológica Argentina;null;2469-0228;Ciencias exactas y naturales ;null
Publicar en antropología y ciencias sociales (En línea);null;2250-7671;Ciencias sociales y humanidades;Colegio de Graduados en Antropología de la República Argentina
Pymes, innovación y desarrollo;null;2344-9195;Ciencias sociales y humanidades;null
Quebracho (Santiago del Estero);0328-0543;1851-3026;Ciencias agrarias, ingeniería y materiales;null
Quid 16;null;2250-4060;Ciencias sociales y humanidades;null
Química viva;null;1666-7948;Ciencias exactas y naturales ;null
Quinto sol;0329-2665;1851-2879;Ciencias sociales y humanidades;null
Quintú quimün;null;2591-541X;Ciencias sociales y humanidades;Facultad de Lenguas Universidad Nacional del Comahue
RASAL Lingüística;null;2618-3455;Ciencias sociales y humanidades;null
Realidad económica;null;2618-1711;Ciencias sociales y humanidades;null
Realidad, tendencias y desafíos en turismo (En línea);null;2545-6199;Ciencias sociales y humanidades;Facultad de Turismo, Universidad Nacional del Comahue
Recial (En línea);null;2718-658X;Ciencias sociales y humanidades;Facultad de Filosofía y Humanidades, Universidad Nacional de Córdoba
Redes (Bernal);0328-3186;1851-7072;Ciencias sociales y humanidades;null
Relaciones (Sociedad Argentina de Antropología);0325-2221;1852-1479;Ciencias sociales y humanidades;null
Relaciones internacionales (La Plata);1515-3371;2314-2766;Ciencias sociales y humanidades;null
República y derecho (Mendoza);null;2525-1937;Ciencias sociales y humanidades;Facultad de Derecho, Universidad Nacional de Cuyo
Res gesta;0325-772X;2525-0884;Ciencias sociales y humanidades;null
Rev IISE;1852-6586;2250-5555;Ciencias sociales y humanidades;null
Revista administración pública y sociedad (En línea);null;2524-9568;Ciencias sociales y humanidades;null
Revista agronómica del noroeste argentino;0080-2069;2314-369X;Ciencias agrarias, ingeniería y materiales;null
Revista americana de medicina respiratoria;1852-1630;1852-236X;Ciencias biológicas y de la salud;null
Revista argentina de anatomía clínica;null;1852-8023;Ciencias biológicas y de la salud;null
Revista argentina de antropología biológica;1514-7991;1853-6387;Ciencias sociales y humanidades;null
Revista argentina de cardiología;0034-7000;1850-3748;Ciencias biológicas y de la salud;null
Revista argentina de ciencia política (Buenos Aires);0329-3092;2683-9032;Ciencias sociales y humanidades;null
Revista argentina de ciencias del comportamiento;null;1852-4206;Ciencias sociales y humanidades;null
Revista argentina de cirugía;0048-7600;2250-639X;Ciencias biológicas y de la salud;null
Revista argentina de clínica psicológica;0327-6716;1851-7951;Ciencias sociales y humanidades;null
Revista Argentina de Coloproctología;null;2683-7846;Ciencias biológicas y de la salud;Sociedad Argentina de Coloproctología
Revista argentina de dermatología;0325-2787;1851-300X;Ciencias biológicas y de la salud;null
Revista argentina de endocrinología y metabolismo (1983);0326-4610;1851-3034;Ciencias biológicas y de la salud;null
Revista argentina de historiografía lingüística;null;1852-1495;Ciencias sociales y humanidades;null
Revista argentina de medicina (En línea);null;2618-4311;Ciencias biológicas y de la salud;Sociedad Argentina de Medicina
Revista argentina de microbiología;0325-7541;1851-7617;Ciencias biológicas y de la salud;null
Revista argentina de producción animal;0326-0550;2314-324X;Ciencias agrarias, ingeniería y materiales;null
Revista argentina de radiología;0048-7619;1852-9992;Ciencias biológicas y de la salud;null
Revista argentina de reumatología (1990);0327-4411;2362-3675;Ciencias biológicas y de la salud;null
