Título;ISSN impresa;ISSN en linea;Instituto;URL
ORBIS TERTIUS;1851-7811;;UNIV NAC LA PLATA, FAC HUMANIDADES & CIENCIAS EDUC , CALLE 48 E-6 & 7,PISO 5, OF 517, LA PLATA, ARGENTINA, BUENOS AIRES, 1900;
PAMPA;1669-3299;2314-0208;EDICIONES UNL , FACUNDO ZUVIRI 3563, S3002EXA, SANTA FE, ARGENTINA, 00000;
PAPELES DE TRABAJO;1851-2577;;UNIV NACL SAN MARTIN, INST ALTOS ESTUDIOS SOCIALES-IDAES , PARANA, 145, PISO 5, BUENOS AIRES, ARGENTINA, 1017;
PAPERS IN PHYSICS;1852-4249;;INST FISICA LIQUIDOS & SISTEMAS BIOLOGICOS , CALLE 59, NO 789, LA PLATA, ARGENTINA, 00000;
PROBIOTA SERIE DOCUMENTOS;1666-7328;1666-731X;PROBIOTA , MUSEO DE LA PLATA , DIV ZOOLOGIA VERTEBRADOS, BUENOS AIRES, ARGENTINA, 000000;
PROBIOTA SERIE TECNICA Y DIDACTICA;1667-3204;;PROBIOTA , MUSEO DE LA PLATA , DIV ZOOLOGIA VERTEBRADOS, BUENOS AIRES, ARGENTINA, 000000;
PROMETEICA-REVISTA DE FILOSOFIA Y CIENCIAS;1852-9488;;LUCAS EMMANUEL MISSERI , LUCAS EMMANUEL MISSERI, MAR DEL PLATA, ARGENTINA, 00000;
PSICODEBATE-PSICOLOGIA CULTURA Y SOCIEDAD;1515-2251;2451-6600;UNIV PALERMO , AV CORDOBA 3501, ESQ MARIO BRAVO, BUENOS AIRES, ARGENTINA, 00000;
PUBLICACION ELECTRONICA DE LA ASOCIACION PALEONTOLOGICA ARGENTINA;2469-0228;;ASOC PALEONTOLOGICA ARGENTINA , MAIPU 645 1O PISO, BUENOS AIRES, Argentina, 1006;
QUEBRACHO;0328-0543;1851-3026;UNIV NACIONAL SANTIAGO ESTERO , FACULTAD CIENCIAS FORESTALES, AV BELGRANO (S) 1912, SANTIAGO DEL ESTERO, ARGENTINA, 4200;
QUESTION;1669-6581;;UNIV NACIONAL PLATA, INST INVESTIGACIONES & COMUNICACION-IICOM , FAC PERIODISMO & COMUNICACION SOCIAL, AVE 44 NO 676, LA PLATA, BUENOS AIRES, ARGENTINA, 1900;
RELACIONES;0325-2221;1852-1479;SOC ARGENTINA ANTROPOLOGIA , MORENO 350, BUENOS AIRES, ARGENTINA, 00000;
RELACIONES INTERNACIONALES;1515-3371;2314-2766;UNIV NACL LA PLATA, FAC LAW & SCIENCE , CALLE 48, NO 582, 5 FL 1900 LA PLATA, BUENOS AIRES, ARGENTINA, 00000;
