Título;ISSN impresa;ISSN en linea;Instituto;Editora;URL
Huellas;0329-0573;2362-5643;Universidad Nacional de La Pampa. Facultad de Ciencias Humanas, Instituto de Geografía;Universidad Nacional de La Pampa. Facultad de Ciencias Humanas;https://doaj.org/toc/2362-5643
CELEHIS;0328-5766;2313-9463;Universidad Nacional de Mar del Plata, Facultad de Humanidades, Centro de Letras Hispanoamericanas;Universidad Nacional de Mar del Plata;https://doaj.org/toc/2313-9463
Revista de Economía Política de Buenos Aires;1850-6933;1853-1350;Universidad de Buenos Aires, Facultad de Ciencias Económicas;Universidad de Buenos Aires, Facultad de Ciencias Económicas;https://doaj.org/toc/1853-1350
Estudios Sociales Contemporáneos;1850-6747;2451-5965;Instituto Multidisciplinario de Estudios Sociales Contemporáneos. Consejo Nacional de Investigaciones Científicas y Técnicas. Facultad de Filosofía y Letras. Universidad Nacional de Cuyo. Argentina;Universidad Nacional de Cuyo;https://doaj.org/toc/2451-5965
Revista Discusiones;1515-7326;2718-6474;;Universidad Nacional del Sur;https://doaj.org/toc/2718-6474
Fave: Sección Ciencias Agrarias;1666-7719;2346-9129;UNL;Universidad Nacional del Litoral;https://doaj.org/toc/2346-9129
Revista Argentina de Estudios de Juventud;;1852-4907;;Universidad Nacional de La Plata, Facultad de Periodismo y Comunicación Social;https://doaj.org/toc/1852-4907
Revista de la Asociación Odontológica Argentina;0004-4881;2683-7226;Asociación Odontológica Argentina;Asociación Odontológica Argentina;https://doaj.org/toc/2683-7226
Comechingonia;0326-7911;2250-7728;Consejo Nacional de Investigaciones Científicas y Técnicas, Centro Argentino de Información Científica y Tecnológica;Centro de Estudios Históricos;https://doaj.org/toc/2250-7728
Revista de la Facultad de Ciencias Médicas de Córdoba;0014-6722;1853-0605;Universidad Nacional de Córdoba, Facultad de Ciencias Médicas;Universidad Nacional de Córdoba;https://doaj.org/toc/1853-0605
Testimonios;;1852-4532;;AHORA, Asociación de Historia Oral de la República Argentina;https://doaj.org/toc/1852-4532
Costos y Gestión;;2545-8329;;Instituto Argentino de Profesores Universitarios de Costos (IAPUCo);https://doaj.org/toc/2545-8329
El Hilo de la Fábula;1667-7900;2362-5651;;Ediciones UNL;https://doaj.org/toc/2362-5651
Archivos de Historia del Movimiento Obrero y la Izquierda;2313-9749;;;Centro de Estudios Históricos de los Trabajadores y las Izquierdas;https://doaj.org/toc/2313-9749
Páginas de Filosofía;0327-5108;1853-7960;Universidad Nacional del Comahue, Facultad de Humanidades, Departamento de Filosofía;Universidad Nacional del Comahue;https://doaj.org/toc/1853-7960
La Trama de la Comunicación;1668-5628;2314-2634;;Universidad Nacional Rosario;https://doaj.org/toc/2314-2634
Revista Pilquen: Sección Psicopedagogía;;1851-3115;Universidad Nacional del Comahue, Centro Universitario Regional Zona Atlántica;Universidad Nacional del Comahue;https://doaj.org/toc/1851-3115
Avances del Cesor;1514-3899;2422-6580;Universidad Nacional de Rosario, Consejo Nacional de Investigaciones Científicas y Técnicas, Nodo Centro de Estudios Sociales Regionales, Unidad Ejecutora Investigaciones Socio-Históricas Regionales;Universidad Nacional de Rosario;https://doaj.org/toc/2422-6580
Económica;0013-0419;1852-1649;;Universidad Nacional de La Plata;https://doaj.org/toc/1852-1649
Signo y Seña;;2314-2189;Universidad de Buenos Aires, Facultad de Filosofía y Letras, Instituto de Lingüística;Universidad de Buenos Aires;https://doaj.org/toc/2314-2189
Políticas de la Memoria;1668-4885;2683-7234;Centro de Documentacion e Investigacion de la Cultura de Izquierdas (CeDInCI);Centro de Documentacion e Investigacion de la Cultura de Izquierdas (CeDInCI);https://doaj.org/toc/2683-7234
Revista del Hospital Italiano de Buenos Aires;;2314-3312;;Instituto Universitario Hospital Italiano de Buenos Aires;https://doaj.org/toc/2314-3312
Aiken Revista de Ciencias Sociales y de la Salud;2796-7395;2796-7506;;Universidad Nacional de Mar del Plata;https://doaj.org/toc/2796-7506
Revista Derechos en Acción;2525-1678;2525-1686;Universidad Nacional de La Plata, Facultad de Ciencias Jurídicas y Sociales;Universidad Nacional de La Plata;https://doaj.org/toc/2525-1686
Palabra Clave [La Plata];1666-2938;1853-9912;Universidad Nacional de La Plata, Facultad de Humanidades y Ciencias de la Educación, Departamento de Bibliotecología;Universidad Nacional de La Plata;https://doaj.org/toc/1853-9912
Revista de la Facultad de Ciencias Agrarias;0370-4661;1853-8665;Universidad Nacional de Cuyo. Facultad de Ciencias Agrarias;Facultad de Ciencias Agrarias. Universidad Nacional de Cuyo;https://doaj.org/toc/1853-8665
Revista Científica;;2525-0396;;Universidad Nacional de Lomas de Zamora;https://doaj.org/toc/2525-0396
Respirar;;2953-3414;Asociación Latinoamericana de Tórax;Respirar;https://doaj.org/toc/2953-3414
Mundo de Antes;;2362-325X;Instituto de Arqueología y Museo, Facultad de Ciencias Naturales e IML, Universidad Nacional de Tucumán;Instituto de Arqueología y Museo, Facultad de Ciencias Naturales e IML, Universidad Nacional de Tucumán;https://doaj.org/toc/2362-325X
Vivienda y Ciudad;;2422-670X;Universidad Nacional de Córdoba, Facultad de Arquitectura, Urbanismo y Diseño, Instituto de Investigación de Vivienda y Hábitat;Universidad Nacional de Córdoba, Argentina;https://doaj.org/toc/2422-670X
Revista de Educación;1853-1318;1853-1326;Universidad Nacional de Mar del Plata, Facultad de Humanidades, Centro de Investigaciones multidisciplinarias en Educación;Universidad Nacional de Mar del Plata;https://doaj.org/toc/1853-1326
El Cardo;1514-7347;1851-1562;Facultad de Ciencias de la Educación - Universidad Nacional de Entre Ríos;Universidad Nacional de Entre Ríos;https://doaj.org/toc/1851-1562
Crítica y Resistencias;;2525-0841;Centro de Estudios Políticos y Sociales de América Latina (CEPSAL), Fundación El llano;Centro de Estudios Políticos y Sociales de América Latina, Fundación El llano;https://doaj.org/toc/2525-0841
Etcétera;;2618-4281;Universidad Nacional de Córdoba,  Centro de Investigaciones de la Facultad de Filosofía y Humanidades;Universidad Nacional de Córdoba;https://doaj.org/toc/2618-4281
Revista del Centro de Estudios de Sociología del Trabajo;1852-4648;1852-494X;Universidad de Buenos Aires. Facultad de Ciencias Económicas. Instituto de Investigaciones en Administración, Contabilidad y Métodos Cuantitativos para la Gestión. Centro de Estudios de Sociología del Trabajo;Universidad de Buenos Aires;https://doaj.org/toc/1852-494X
Magallanica: Revista de Historia Moderna;;2422-779X;Universidad Nacional de Mar del Plata, Facultad de Humanidades, Red de Historia Moderna, Grupo de Investigaciones en Historia de Europa Moderna;Universidad Nacional de Mar del Plata;https://doaj.org/toc/2422-779X
Cuadernos de H Ideas;1851-8206;2313-9048;Facultad de Periodismo y Comunicación Social;Universidad Nacional de La Plata;https://doaj.org/toc/2313-9048
Anuario;1852-5784;2545-8299;Universidad de Buenos Aires. Facultad de Ciencias Económicas. Centro de Estudios Económicos de la Empresa y el Desarrollo;Universidad de Buenos Aires. Facultad de Ciencias Económicas. Centro de Estudios Económicos de la Empresa y el Desarrollo;https://doaj.org/toc/2545-8299
Revista Argentina de Dermatología;0325-2787;1851-300X;Asociación Argentina de Dermatología;Asociación Argentina de Dermatología;https://doaj.org/toc/1851-300X
