Título;ISSN en linea;ISSN impresa;ISSN-L;Instituto;URL
Revista de estudios clásicos;2469-0643;;0325-3465;Instituto de Lenguas y Literaturas Clásicas, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://www.latindex.org/latindex/ficha/23460
Revista de estudios marítimos y sociales;2545-6237;;1852-0669;Universidad Nacional de Mar del Plata, Grupo de Estudios Marítimos y Sociales;https://www.latindex.org/latindex/ficha/23229
Revista de estudios sobre genocidio;2362-3985;1851-8184;1851-8184;Universidad Nacional de Tres de Febrero, Centro de Estudios sobre Genocidio;https://www.latindex.org/latindex/ficha/9565
Revista de extensión universitaria;2346-9986;;2250-4591;Universidad Nacional del Litoral;https://www.latindex.org/latindex/ficha/22588
Revista de filosofía y teoría política;2314-2553;0328-6223;0328-6223;Universidad Nacional de La Plata. Facultad de Humanidades y Ciencias de la Educación. Departamento de Filosofía.;https://www.latindex.org/latindex/ficha/14458
Revista de geografía;2618-2084;1514-1942;1514-1942;Universidad Nacional de San Juan, Facultad de Filosofía, Humanidades y Artes, Instituto de Geografía Aplicada, Departamento de Geografía;https://www.latindex.org/latindex/ficha/14483
Revista de geología aplicada a la ingeniería y el ambiente;2422-5703;1851-7838;1851-7838;Asociación Argentina de Geología Aplicada a la Ingeniería;https://www.latindex.org/latindex/ficha/23887
Revista de historia americana y argentina;2314-1549;0556-5960;0556-5960;Universidad Nacional de Cuyo, Facultad de Filosofía y Letras, Instituto de Historia;https://www.latindex.org/latindex/ficha/14515
Revista de historia de las prisiones;2451-6473;;2451-6473;Universidad Nacional de Tucumán;https://www.latindex.org/latindex/ficha/22071
Revista de historia universal.;2683-8869;;0328-3704;Universidad Nacional de Cuyo, Facultad de Filosofía y Letras;https://www.latindex.org/latindex/ficha/27550
Revista de investigación en modelos financieros;2250-6861;2250-687X;2250-6861;Centro de Investigación en Métodos Cuantitativos Aplicados a la Economía y la Gestión, Facultad de Ciencias Económicas, Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/5309
Revista de investigación y disciplinas.;2683-9040;;2683-9040;Centro de Informática Educativa;https://www.latindex.org/latindex/ficha/25953
Revista de la Asociación Argentina de Ortopedia y Traumatología;1852-7434;1515-1786;1515-1786;Asociación Argentina de Ortopedia y Traumatología;https://www.latindex.org/latindex/ficha/14645
Revista de la carrera de sociología;1853-6484;;1853-6484;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Carrera de Sociología;https://www.latindex.org/latindex/ficha/19713
Revista de la Escuela de Antropología.;2618-2998;;1852-1576;FHUMYAR Ediciones;https://www.latindex.org/latindex/ficha/26968
Revista de la Escuela de Ciencias de la Educación;2362-3349;1851-6297;1851-6297;Universidad Nacional de Rosario. Facultad de Humanidades y Artes. Revista de la Escuela de Ciencias de la Educación.;https://www.latindex.org/latindex/ficha/14693
Revista de la Escuela de Perfeccionamiento en Investigación Operativa;1853-9777;0329-7322;0329-7322;Universidad Nacional del Centro de la Provincia de Buenos Aires. Facultad de Ciencias Económicas. Escuela de Perfeccionamiento en Investigación Operativa.;https://www.latindex.org/latindex/ficha/14698
Revista de la Facultad de Agronomía;1669-9513;;0041-8676;Universidad Nacional de La Plata. Facultad de Ciencias Agrarias y Forestales;https://www.latindex.org/latindex/ficha/14709
Revista de la Facultad de Ciencias Agrarias. Universidad Nacional de Cuyo;1853-8665;;0370-4661;Facultad de Ciencias Agrarias, Universidad Nacional de Cuyo;https://www.latindex.org/latindex/ficha/10479
Revista de la Facultad de Ciencias Económicas;1668-6365;;1668-6357;Universidad Nacional del Nordeste, Facultad de Ciencias Económicas;https://www.latindex.org/latindex/ficha/14716
Revista de la Facultad de Ciencias Médicas;1853-0605;;0014-6722;Secretaría de Ciencia y Tecnología, Facultad de Ciencias Médicas, Universidad Nacional de Córdoba;https://www.latindex.org/latindex/ficha/14728
Revista de la Facultad de Odontología.;2683-7986;;1668-7280;Universidad Nacional del Nordeste, Facultad de Odontología (FOUNE);https://www.latindex.org/latindex/ficha/27153
Revista de la Facultad de Odontología.;2545-7594;;0325-1071;Universidad Nacional de Córdoba;https://www.latindex.org/latindex/ficha/25438
Revista de la Facultad de Odontología. Universidad de Buenos Aires.;1668-8538;;0326-632X;Universidad de Buenos Aires. Facultad de Odontología;https://www.latindex.org/latindex/ficha/26700
Revista de la Red de Intercátedras de Historia de América Latina Contemporánea;2250-7264;;2250-7264;Universidad Nacional de Córdoba, Facultad de Filosofía, Escuela de Historia, Historia de América;https://www.latindex.org/latindex/ficha/22912
Revista de la Sociedad Argentina de Diabetes.;2346-9420;;0325-5247;Sociedad Argentina de Diabetes/Sello Editorial Lugones;https://www.latindex.org/latindex/ficha/26406
Revista de lengua y literatura;2408-4646;;0327-1951;Universidad Nacional del Comahue, Facultad de Humanidades, Departamento de Letras;https://www.latindex.org/latindex/ficha/28040
Revista de literaturas modernas.;2683-8389;;0556-6134;Instituto de Literaturas Modernas, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://www.latindex.org/latindex/ficha/27667
Revista de Medicina Veterinaria;1852-771X;;0325-6391;Sociedad de Medicina Veterinaria;https://www.latindex.org/latindex/ficha/19719
Revista de nefrología, diálisis y trasplante;2346-8548;;0326-3428;Asociación Regional de Diálisis y Trasplantes Renales de Capital Federal y Provincia de Buenos Aires;https://www.latindex.org/latindex/ficha/24886
Revista de Psicología;2422-572X;;0556-6274;Universidad Nacional de La Plata, Facultad de Psicología;https://www.latindex.org/latindex/ficha/24735
Revista de psicología.;2469-2050;;1669-2438;Departamento de Psicología, Facultad de Psicología y Psicopedagogía, Pontificia Universidad Católica Argentina;https://www.latindex.org/latindex/ficha/28006
Revista debate público;1853-6654;;1853-6654;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Carrera de Trabajo Social;https://www.latindex.org/latindex/ficha/15141
Revista del Centro de Estudios de Sociología del Trabajo;1852-494X;1852-4648;1852-4648;Universidad de Buenos Aires, Facultad de Ciencias Económicas, Centro de Estudios de Sociología del Trabajo;https://www.latindex.org/latindex/ficha/15158
Revista del IICE;2451-5434;;0327-7763;Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/24903
Revista del Instituto de Historia Antigua Oriental "Dr. Abraham Rosenvasser".;2683-9660;;0325-1209;Universidad de Buenos Aires, Facultad de Filosofía y Letras;https://www.latindex.org/latindex/ficha/27141
Revista del Instituto de Investigaciones en Educación.;1853-1393;;1853-1393;Instituto de Investigaciones en Educación UNNE;https://www.latindex.org/latindex/ficha/25687
Revista del Instituto Superior de Música (En línea);2362-3322;;1666-7603;Ediciones UNL;https://www.latindex.org/latindex/ficha/27658
Revista del Museo de Antropología;1852-4826;1852-060X;1852-060X;Museo de Antropología, Facultad de Filosofía y Humanidades, Universidad Nacional de Córdoba;https://www.latindex.org/latindex/ficha/15289
Revista del Museo de La Plata;2545-6377;;2545-6369;Universidad Nacional de La Plata, Facultad de Ciencias Naturales y Museo;https://www.latindex.org/latindex/ficha/23790
Revista derecho y salud;2591-3476;;2591-3468;Universidad Blas Pascal;https://www.latindex.org/latindex/ficha/23960
Revista derechos en acción;2525-1686;;2525-1678;ReDeA;https://www.latindex.org/latindex/ficha/23971
Revista digital de políticas lingüísticas;1853-3256;;1853-3256;Universidad Nacional de Córdoba, Facultad de Lenguas;https://www.latindex.org/latindex/ficha/15338
Revista Digital del Departamento de Ingeniería e Investigaciones Tecnológicas;2525-1333;;2525-1333;Departamento de Ingeniería e Investigaciones Tecnológicas de la Universidad Nacional de La Matanza;https://www.latindex.org/latindex/ficha/22872
Revista digital del Instituto Internacional de Costos.;2718-8507;;2718-8507;Instituto Internacional de Costos;https://www.latindex.org/latindex/ficha/26821
Revista Discusiones.;2718-6474;;1515-7326;EdiUns;https://www.latindex.org/latindex/ficha/26476
Revista electrónica;1851-3069;;1851-3069;Universidad de Buenos Aires, Facultad de Derecho, Instituto de Investigaciones Jurídicas y Sociales;https://www.latindex.org/latindex/ficha/15500
Revista Electrónica de Derecho Internacional Contemporáneo;2618-303X;;2618-303X;Instituto de Relaciones Internacionales;https://www.latindex.org/latindex/ficha/25475
Revista Electrónica de divulgación de STEM de la Facultad de Ingeniería de la Universidad Nacional de la Patagonia San Juan Bosco.;2683-8648;;2683-8648;REDIUNP;https://www.latindex.org/latindex/ficha/26366
Revista electrónica de fuentes y archivos;1853-4503;;1853-4503;Centro de Estudios "Prof. Carlos S. A. Segreti";https://www.latindex.org/latindex/ficha/20052
Revista electrónica de investigación en educación en ciencias;1850-6666;;1850-6666;Universidad Nacional del Centro de la Provincia de Buenos Aires, Facultad de Ciencias Exactas;https://www.latindex.org/latindex/ficha/15518
Revista electrónica de la Cátedra Jean Monnet de la Facultad de Derecho de la Universidad de Buenos Aires.;2346-9196;;2346-9196;Centro de Excelencia Jean Monnet Integración Regional & Derechos Humanos de la Facultad de Derecho de la Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/25951
Revista elektron;2525-0159;;2525-0159;Departamento de Electrónica de la Facultad de Ingeniería de la Universidad de Buenos Aires, Facultad de Ingeniería, Departamento de Electrónica;https://www.latindex.org/latindex/ficha/23410
Revista enfermería neonatal.;2591-6424;;2591-6424;FUNDASAMIN-Fundación para la Salud Materno Infantil;https://www.latindex.org/latindex/ficha/26763
Revista entramados;2422-6459;;2422-6459;Universidad Nacional de Mar del Plata. Facultad de Humanidades. Centro de Investigaciones Multidisciplinarias en Educación. Grupo de Investigaciones en Educación y Estudios Culturales;https://www.latindex.org/latindex/ficha/21801
Revista estudios ambientales;2347-0941;;2347-0941;Universidad Nacional del Centro de la Provincia de Buenos Aires, Facultad de Ciencias Humanas, Centro de Investigaciones y Estudios Ambientales;https://www.latindex.org/latindex/ficha/20693
Revista eurolatinoamericana de derecho administrativo;2362-583X;;2362-583X;Ediciones UNL;https://www.latindex.org/latindex/ficha/22832
Revista Hormigón;2718-9058;;0325-8947;Asociación Argentina de Tecnología del Hormigón;https://www.latindex.org/latindex/ficha/28398
Revista iberoamericana de ciencia tecnología y sociedad;1850-0013;;1668-0030;Centro de Estudios sobre Ciencia Desarrollo y Educación Superior;https://www.latindex.org/latindex/ficha/15828
Revista iberoamericana de la propiedad intelectual;2422-569X;;2422-569X;Universidad Austral (Argentina), Universidad de La Sabana (Colombia), Universidad Panamericana (México).;https://www.latindex.org/latindex/ficha/22069
Revista iberoamericana de tecnología en educación y educación en tecnología;1850-9959;;1850-9959;Red de Universidades Nacionales con Carreras de Informática (RedUNCI), Facultad de Informática, Universidad Nacional de La Plata;https://www.latindex.org/latindex/ficha/19777
Revista integración y cooperación internacional;1852-9798;;1852-9798;Vanesa Castello;https://www.latindex.org/latindex/ficha/15905
Revista interdisciplinaria de estudios sociales.;2469-1860;;1853-1679;Ediciones del CEISO;https://www.latindex.org/latindex/ficha/25569
Revista interdisciplinaria de fenomenología;2718-8698;;2718-8698;EditUCES;https://www.latindex.org/latindex/ficha/27260
Revista IRICE;2618-4052;;0327-392X;Instituto Rosario de Investigaciones en Ciencias de la Educación;https://www.latindex.org/latindex/ficha/24769
Revista Jurídica Austral.;2684-057X;;2684-057X;Universidad Austral;https://www.latindex.org/latindex/ficha/26119
Revista Latinoamericana de Antropología del Trabajo;2591-2755;;2591-2755;CEIL-CONICET y CIESAS - CONACYT;https://www.latindex.org/latindex/ficha/23888
Revista latinoamericana de estudios críticos animales;2346-920X;;2346-920X;Instituto Latinoamericano de Estudios Críticos Animales (Institute of Critical Animal Studies);https://www.latindex.org/latindex/ficha/22798
Revista latinoamericana de estudios rurales;2525-1635;;2525-1635;Asociación Latinoamericana de Sociología Rural (ALASRU);https://www.latindex.org/latindex/ficha/22893
Revista latinoamericana de filosofía;1852-7353;0325-0725;0325-0725;Centro de Investigaciones Filosóficas;https://www.latindex.org/latindex/ficha/16079
Revista latinoamericana de la papa;1853-4961;;1853-4961;Asociación Latinoamericana de la Papa;https://www.latindex.org/latindex/ficha/16086
Revista latinoamericana de metodología de las ciencias sociales;1853-7863;;1853-7863;Centro Interdisciplinario de Metodología de las Ciencias Sociales, Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata;https://www.latindex.org/latindex/ficha/20384
Revista latinoamericana de políticas y administración de la educación;2408-4573;;2408-4573;Núcleo Interdisciplinario de Formación y Estudios para el Desarrollo de la Educación (NIFEDE), Universidad Nacional de Tres de Febrero (UNTREF);https://www.latindex.org/latindex/ficha/23178
Revista latinoamericana de psicología existencial;1853-3051;;1853-3051;Fundación CAPAC;https://www.latindex.org/latindex/ficha/25241
Revista latinoamericana en discapacidad, sociedad y derechos humanos;2525-1643;;2525-1643;Red Iberoamericana de Expertos sobre la Convención de los Derechos de las Personas con Discapacidad;https://www.latindex.org/latindex/ficha/23146
Revista Methodo;2545-8302;;2545-8302;Universidad Católica de Córdoba - Facultad de Ciencias de la Salud;https://www.latindex.org/latindex/ficha/24683
Revista notas de enfermería.;2618-3692;;1668-8821;Sanatorio Allende, Departamento de Enfermaría;https://www.latindex.org/latindex/ficha/26722
Revista Pares;2718-8582;;2718-8582;Revista Pares;https://www.latindex.org/latindex/ficha/26782
Revista Pilquen. Sección Ciencias Sociales;1851-3123;1666-0579;1666-0579;Universidad Nacional del Comahue, Centro Universitario Regional Zona Atlántica;https://www.latindex.org/latindex/ficha/16439
Revista Política Austral;2953-4321;;2953-4151;Escuela de Gobierno, Facultad de Derecho, Universidad Austral;https://www.latindex.org/latindex/ficha/28044
Revista prefacio.;2591-3905;;null;Escuela de Bibliotecología. Facultad de Filosofía y Humanidades de la Universidad Nacional de Córdoba;https://www.latindex.org/latindex/ficha/27212
Revista psicodebate: psicología, cultura y sociedad;2451-6600;;1515-2251;Universidad de Palermo. Facultad de Ciencias Sociales;https://www.latindex.org/latindex/ficha/22961
Revista question;1669-6581;;1669-6581;Universidad Nacional de La Plata, Facultad de Periodismo y Comunicación Social;https://www.latindex.org/latindex/ficha/16538
Revista SAAP;1853-1970;1666-7883;1666-7883;Sociedad Argentina de Análisis Político;https://www.latindex.org/latindex/ficha/16554
Revista sociedad.;2618-3137;;2618-3137;Facultad de Ciencias Sociales de la Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/26333
Revista TEFROS;1669-726X;;1669-726X;Universidad Nacional de Río Cuarto. Asociación Taller de Etnohistoria de la Frontera Sur;https://www.latindex.org/latindex/ficha/16631
Revista Teología.;2683-7307;;0328-1396;Ediciones Facultad de Teología;https://www.latindex.org/latindex/ficha/26971
Revista transporte y territorio;1852-7175;;1852-7175;Universidad de Buenos Aires, Facultad de Filosofía y Letras, Instituto de Geografía, Programa Transporte y Territorio;https://www.latindex.org/latindex/ficha/20973
Revista UCES D.G. "Enseñanza y aprendizaje del diseño;2344-9551;;2344-9551;Editorial de la Universidad de Ciencias Empresariales y Sociales;https://www.latindex.org/latindex/ficha/22062
Revista Unidad Sanitaria XXI.;2718-8388;;2718-8388;Palabras del Viento Pampa;https://www.latindex.org/latindex/ficha/26496
Revista veterinaria;1669-6840;;1668-4834;Universidad Nacional del Nordeste, Facultad de Ciencias Veterinarias;https://www.latindex.org/latindex/ficha/18637
RiHumSo;2250-8139;;2250-8139;Universidad Nacional de La Matanza, Departamento de Humanidades y Ciencias Sociales;https://www.latindex.org/latindex/ficha/20478
Runa;1851-9628;0325-1217;0325-1217;Universidad de Buenos Aires, Facultad de Filosofía  y Letras;https://www.latindex.org/latindex/ficha/16869
SaberEs;1852-4222;;1852-4184;Universidad Nacional de Rosario, Facultad de Ciencias Económicas y Estadística;https://www.latindex.org/latindex/ficha/16894
Saberes y prácticas. Revista de filosofía y educación;2525-2089;;2525-2089;Universidad Nacional de Cuyo, Facultad de Filosofía y Letras, Centro de Investigaciones Interdisciplinarias de Filosofía en la Escuela (CIIFE);https://www.latindex.org/latindex/ficha/24647
SADIO electronic journal of informatics and operations research.;1514-6774;;1514-6774;Sociedad Argentina de Informática e Investigación Operativa (SADIO);https://www.latindex.org/latindex/ficha/26348
Salud colectiva;1851-8265;1669-2381;1669-2381;Universidad Nacional de Lanús;https://www.latindex.org/latindex/ficha/16921
Salud, Ciencia y Tecnología - Serie de Conferencias;2953-4860;;2953-4860;Editorial Salud, Ciencia y Tecnología;https://www.latindex.org/latindex/ficha/28049
Scripta ethnologica;1669-0990;0325-6669;0325-6669;Centro Argentino de Etnología Americana, Centro Argentino de Información Científica y Tecnológica;https://www.latindex.org/latindex/ficha/17029
Scripta mediaevalia;2362-4868;1851-8753;1851-8753;Universidad Nacional de Cuyo, Facultad de Filosofía Y Letras, Centro de Estudios Filosóficos Medievales;https://www.latindex.org/latindex/ficha/17032
Semiárida;2408-4077;;2362-4337;Universidad Nacional de la Pampa;https://www.latindex.org/latindex/ficha/24318
Sendas.;2618-2254;;null;Editorial de la Facultad de Artes (EdFA), Universidad Nacional de Córdoba;https://www.latindex.org/latindex/ficha/28504
Siglo Dieciocho;2684-0553;;2684-0553;Asociación Argentina de Estudios del Siglo XVIII;https://www.latindex.org/latindex/ficha/27650
Signo y seña;2314-2189;;2314-2189;Universidad de Buenos Aires,  Facultad de Filosofía y Letras,  Instituto de Lingüística;https://www.latindex.org/latindex/ficha/20689
Sociedades precapitalistas;2250-5121;;2250-5121;Universidad Nacional de La Plata, Facultad de Humanidades y Ciencias de la Educación;https://www.latindex.org/latindex/ficha/17551
Sociohistórica;1852-1606;1853-6344;1852-1606;Universidad Nacional de La Plata, Facultad de Humanidades y Ciencias de la Educación;https://www.latindex.org/latindex/ficha/17557
Studium, filosofía y teología.;2591-426X;;0329-8930;Universidad del Norte Santo Tomás de Aquino;https://www.latindex.org/latindex/ficha/26515
Subjetividad y procesos cognitivos;1852-7310;1666-244X;1666-244X;Universidad de Ciencias Empresariales y Sociales;https://www.latindex.org/latindex/ficha/17673
Sudamérica;2314-1174;;2250-7779;Universidad Nacional de Mar del Plata. Departamento de Sociología. Facultad de Humanidades;https://www.latindex.org/latindex/ficha/22960
Synthesis;1851-779X;0328-1205;0328-1205;Centro de Estudios Helénicos, Instituto de Investigaciones en Humanidades y Ciencias Sociales, Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata;https://www.latindex.org/latindex/ficha/17723
Tábano;2591-572X;;1852-7221;Centro de Estudiantes de Filosofía;https://www.latindex.org/latindex/ficha/24698
Tableros;2525-1589;;2250-5474;Papel Cosido;https://www.latindex.org/latindex/ficha/24122
Teatro XXI;2683-8451;;null;Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/28219
Technology rain journal;2953-464X;;2953-464X;Editorial Kolibri;https://www.latindex.org/latindex/ficha/27900
Tecnología y ciencia;1666-6933;1666-6917;1666-6917;Universidad Tecnológica Nacional, Rectorado, Secretaría de Ciencia y Tecnología;https://www.latindex.org/latindex/ficha/17819
Telar;1668-3633;;1668-2963;Universidad Nacional de Tucumán, Facultad de Filosofía y Letras, Instituto Interdisciplinario de Estudios Latinoamericanos;https://www.latindex.org/latindex/ficha/17846
Telondefondo;1669-6301;;1669-6301;Universidad de Buenos Aires;https://www.latindex.org/latindex/ficha/17855
Temas de historia argentina y americana;2618-1924;;1666-8146;Universidad Católica Argentina.;https://www.latindex.org/latindex/ficha/27732
Temas debates;1853-984X;;1666-0714;Universidad Nacional de Rosario, Facultad de Ciencia Política y Relaciones Internacionales;https://www.latindex.org/latindex/ficha/17500
Temas y Problemas de Comunicación.;2718-6423;;1514-2159;Facultad de Ciencias Humanas - Universidad Nacional de Río Cuarto;https://www.latindex.org/latindex/ficha/27150
Testimonios;1852-4532;;1852-4532;Asociación de Historia Oral de la República Argentina;https://www.latindex.org/latindex/ficha/18027
Textos y contextos desde el sur;2347-081X;;2347-081X;Universidad Nacional de la Patagonia San Juan Bosco;https://www.latindex.org/latindex/ficha/23569
Toma uno;2250-4524;2313-9692;2250-4524;Universidad Nacional de Córdoba. Facultad de Artes. Departamento de Cine y TV;https://www.latindex.org/latindex/ficha/3024
Tópicos;1668-723X;1666-485X;1666-485X;ARFil. Asociación Revista de Filosofía de Santa Fe;https://www.latindex.org/latindex/ficha/18186
Trabajo y sociedad;1514-6871;;1514-6871;Maestría en Estudios Sociales para América Latina, Programa de Investigaciones sobre Trabajo y Sociedad, Facultad de Humanidades y Ciencias Sociales, Universidad Nacional de Santiago del Estero;https://www.latindex.org/latindex/ficha/18212
Trabajos y comunicaciones;2346-8971;0325-173X;0325-173X;Universidad Nacional de La Plata, Facultad de Humanidades y Ciencias de la Educación, Departamento de Historia;https://www.latindex.org/latindex/ficha/18227
Tram[p]as;2314-274X;;2314-274X;Universidad Nacional de La Plata, Facultad de Periodismo y Comunicación Social;https://www.latindex.org/latindex/ficha/20378
Unidad sociológica;2362-1850;;2362-1850;F. L. Abiuso;https://www.latindex.org/latindex/ficha/23126
Urbania;2591-5681;;1853-7626;Arqueocoop Ltda;https://www.latindex.org/latindex/ficha/25402
Vertex Revista Argentina de Psiquiatría.;2718-904X;;0327-6139;Editorial Polemos;https://www.latindex.org/latindex/ficha/27211
Virtualidad, educación y ciencia;1853-6530;;1853-6530;Maestría en Procesos Educativos Mediados por Tecnología, Centro de Estudios Avanzados, Universidad Nacional de Córdoba;https://www.latindex.org/latindex/ficha/19921
Visión de futuro;1668-8708;1668-8708;1668-8708;Universidad Nacional de Misiones, Facultad de Ciencias Económicas;https://www.latindex.org/latindex/ficha/18699
Vivomatografías;2469-0767;;2469-0767;Vivomatografías. Revista de estudios sobre precine y cine silente en Latinoamérica;https://www.latindex.org/latindex/ficha/23799
Zama.;2422-6017;;1851-6866;Instituto de Literatura Hispanoamericana, Facultad de Filosofía y Letras, Universidad de Buenos Aires.;https://www.latindex.org/latindex/ficha/28163
Zona Franca;2545-6504;;2545-6504;Zona Franca;https://www.latindex.org/latindex/ficha/23150
